"","state","county","tract","ct_id","town","town_id"
"1","25","001","010100","25001010100","PROVINCETOWN",242
"2","25","001","010400","25001010400","ORLEANS",224
"3","25","001","014800","25001014800","FALMOUTH",96
"4","25","023","511302","25023511302","BROCKTON",44
"5","25","001","010200","25001010200","TRURO",300
"6","25","001","012900","25001012900","BARNSTABLE",20
"7","25","001","010300","25001010300","EASTHAM",86
"8","25","001","013800","25001013800","BOURNE",36
"9","25","003","900100","25003900100","PITTSFIELD",236
"10","25","001","010500","25001010500","ORLEANS",224
"11","25","003","900300","25003900300","PITTSFIELD",236
"12","25","001","010700","25001010700","HARWICH",126
"13","25","001","011300","25001011300","DENNIS",75
"14","25","001","012200","25001012200","BARNSTABLE",20
"15","25","001","012300","25001012300","BARNSTABLE",20
"16","25","003","900700","25003900700","PITTSFIELD",236
"17","25","001","014000","25001014000","BOURNE",36
"18","25","003","901100","25003901100","PITTSFIELD",236
"19","25","005","650800","25005650800","NEW BEDFORD",201
"20","25","003","912100","25003912100","DALTON",70
"21","25","003","921100","25003921100","NORTH ADAMS",209
"22","25","003","921500","25003921500","NORTH ADAMS",209
"23","25","003","926100","25003926100","SHEFFIELD",267
"24","25","003","933300","25003933300","NEW MARLBOROUGH",203
"25","25","005","600100","25005600100","EASTON",88
"26","25","005","612100","25005612100","RAYNHAM",245
"27","25","001","012400","25001012400","BARNSTABLE",20
"28","25","009","251100","25009251100","LAWRENCE",149
"29","25","001","010600","25001010600","CHATHAM",55
"30","25","001","010800","25001010800","BREWSTER",41
"31","25","005","651001","25005651001","NEW BEDFORD",201
"32","25","001","010900","25001010900","BREWSTER",41
"33","25","001","011000","25001011000","HARWICH",126
"34","25","001","011100","25001011100","HARWICH",126
"35","25","001","011200","25001011200","HARWICH",126
"36","25","001","011400","25001011400","DENNIS",75
"37","25","001","011500","25001011500","DENNIS",75
"38","25","001","011600","25001011600","DENNIS",75
"39","25","001","011700","25001011700","DENNIS",75
"40","25","003","901200","25003901200","PITTSFIELD",236
"41","25","001","011800","25001011800","YARMOUTH",351
"42","25","001","012000","25001012000","YARMOUTH",351
"43","25","001","012100","25001012100","YARMOUTH",351
"44","25","005","651600","25005651600","NEW BEDFORD",201
"45","25","001","012500","25001012500","BARNSTABLE",20
"46","25","001","012600","25001012600","BARNSTABLE",20
"47","25","001","012700","25001012700","BARNSTABLE",20
"48","25","001","012800","25001012800","BARNSTABLE",20
"49","25","003","911100","25003911100","LANESBOROUGH",148
"50","25","005","651002","25005651002","NEW BEDFORD",201
"51","25","001","013000","25001013000","BARNSTABLE",20
"52","25","001","013100","25001013100","BARNSTABLE",20
"53","25","001","013600","25001013600","SANDWICH",261
"54","25","003","921400","25003921400","NORTH ADAMS",209
"55","25","001","013200","25001013200","BARNSTABLE",20
"56","25","001","013300","25001013300","SANDWICH",261
"57","25","001","013400","25001013400","SANDWICH",261
"58","25","001","013500","25001013500","SANDWICH",261
"59","25","001","013700","25001013700","BOURNE",36
"60","25","001","013900","25001013900","BOURNE",36
